Site,Observation.Number,Butterfly.Visits,Bumblebee.Visits,Hoverfly.Visits,Hummingbird.Visits,Other.fly.Visits,Solitary.bee.Visits,Wasp.Visits,Visit.Abundance,Observers,Year,Drought,Time,Butterfly.Visitors,Bumblebee.Visitors,Hoverfly.Visitors,Hummingbird.Visitors,Other.fly.Visitors,Solitary.bee.Visitors,Wasp.Visitors,Visitor.Abundance,Richness
V,6,0,0,0,0,0,0,0,0,1,1997,Non-drought,1.5,0,0,0,0,0,0,0,0,0
V,7,0,1,4,0,0,0,0,5,1,1997,Non-drought,1.5,0,1,1,0,0,0,0,2,2
V,8,0,0,0,0,0,0,0,0,1,1997,Non-drought,1.5,0,0,0,0,0,0,0,0,0
V,9,0,0,0,0,0,0,0,0,1,1997,Non-drought,1.5,0,0,0,0,0,0,0,0,0
P98,1,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
P98,2,0,0,0,6,0,0,0,6,1,1998,Non-drought,1,0,0,0,1,0,0,0,1,1
P98,3,0,0,15,0,0,0,0,15,1,1998,Non-drought,1,0,0,8,0,0,0,0,8,1
P98,4,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
P98,5,0,0,0,0,12,5,0,17,1,1998,Non-drought,1,0,0,0,0,4,2,0,6,2
P98,6,0,0,0,32,1,0,0,33,1,1998,Non-drought,1,0,0,0,6,1,0,0,7,2
P98,7,0,0,0,15,0,0,0,15,1,1998,Non-drought,1,0,0,0,2,0,0,0,2,1
P98,8,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
P98,9,0,0,0,5,0,0,0,5,1,1998,Non-drought,1,0,0,0,3,0,0,0,3,1
P98,10,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
P98,11,0,2,0,8,0,0,0,10,1,1998,Non-drought,1,0,1,0,2,0,0,0,3,2
P98,12,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
P98,13,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
P98,14,0,0,0,0,1,0,0,1,1,1998,Non-drought,1,0,0,0,0,1,0,0,1,1
P98,15,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
P98,16,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
P98,17,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
P98,18,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
P98,19,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
T98,1,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
T98,2,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
T98,3,0,0,0,0,0,3,0,3,1,1998,Non-drought,1,0,0,0,0,0,2,0,2,1
T98,4,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
T98,5,0,0,0,0,2,0,0,2,1,1998,Non-drought,1,0,0,0,0,1,0,0,1,1
T98,6,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
T98,7,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
T98,8,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
T98,9,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
T98,10,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
T98,11,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
T98,12,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
T98,13,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
T98,14,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
T98,15,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
T98,16,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
T98,17,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
V98,1,0,0,2,0,7,2,0,11,1,1998,Non-drought,1,0,0,1,0,4,1,0,6,3
V98,2,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
V98,3,0,0,0,5,0,0,0,5,1,1998,Non-drought,1,0,0,0,1,0,0,0,1,1
V98,4,0,0,0,16,0,0,0,16,1,1998,Non-drought,1,0,0,0,3,0,0,0,3,1
V98,5,0,0,4,0,0,0,0,4,1,1998,Non-drought,1,0,0,1,0,0,0,0,1,1
V98,6,0,0,0,2,0,0,0,2,1,1998,Non-drought,1,0,0,0,1,0,0,0,1,1
V98,7,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
V98,8,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
V98,9,0,0,0,4,0,0,0,4,1,1998,Non-drought,1,0,0,0,1,0,0,0,1,1
V98,10,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
V98,11,0,0,0,15,0,0,0,15,1,1998,Non-drought,1,0,0,0,3,0,0,0,3,1
V98,12,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
V98,13,0,0,0,7,0,0,0,7,1,1998,Non-drought,1,0,0,0,3,0,0,0,3,1
V98,14,0,0,1,0,0,0,0,1,1,1998,Non-drought,1,0,0,1,0,0,0,0,1,1
P01,1,0,0,0,0,0,0,0,0,1,2001,Non-drought,1,0,0,0,0,0,0,0,0,0
P01,2,0,0,2,0,0,2,0,4,1,2001,Non-drought,1,0,0,1,0,0,2,0,3,2
P01,3,0,0,20,0,0,0,0,20,1,2001,Non-drought,1,0,0,12,0,0,0,0,12,1
P01,4,0,0,2,0,1,0,0,3,1,2001,Non-drought,1,0,0,1,0,1,0,0,2,2
P01,5,0,0,3,0,0,0,0,3,1,2001,Non-drought,1,0,0,2,0,0,0,0,2,1
P01,6,0,0,8,0,0,0,0,8,1,2001,Non-drought,1,0,0,3,0,0,0,0,3,1
P01,7,0,0,2,0,0,0,0,2,1,2001,Non-drought,1,0,0,2,0,0,0,0,2,1
P01,8,0,0,0,0,0,0,0,0,1,2001,Non-drought,1,0,0,0,0,0,0,0,0,0
P01,9,0,0,0,0,0,0,0,0,1,2001,Non-drought,1,0,0,0,0,0,0,0,0,0
P01,10,0,0,0,0,0,0,0,0,1,2001,Non-drought,1,0,0,0,0,0,0,0,0,0
P01,11,0,0,3,3,0,0,0,6,1,2001,Non-drought,1,0,0,2,2,0,0,0,4,2
P01,12,0,0,0,0,0,0,0,0,1,2001,Non-drought,1,0,0,0,0,0,0,0,0,0
P01,13,0,0,0,8,0,0,0,8,1,2001,Non-drought,1,0,0,0,1,0,0,0,1,1
P01,14,0,0,0,3,0,0,0,3,1,2001,Non-drought,1,0,0,0,1,0,0,0,1,1
P01,15,0,0,0,0,0,0,0,0,1,2001,Non-drought,1,0,0,0,0,0,0,0,0,0
P01,16,0,0,0,0,0,0,0,0,1,2001,Non-drought,1,0,0,0,0,0,0,0,0,0
P01,17,0,0,0,0,0,0,0,0,1,2001,Non-drought,1,0,0,0,0,0,0,0,0,0
P01,18,0,0,0,0,0,0,0,0,1,2001,Non-drought,1,0,0,0,0,0,0,0,0,0
T01,1,0,0,0,8,0,0,0,8,1,2001,Non-drought,1,0,0,0,3,0,0,0,3,1
T01,2,0,0,0,0,0,0,0,0,1,2001,Non-drought,1,0,0,0,0,0,0,0,0,0
T01,3,0,0,0,0,0,0,0,0,1,2001,Non-drought,1,0,0,0,0,0,0,0,0,0
T01,4,0,0,0,10,0,0,2,12,1,2001,Non-drought,1,0,0,0,3,0,0,4,7,2
T01,5,0,0,0,0,0,0,0,0,1,2001,Non-drought,1,0,0,0,0,0,0,0,0,0
T01,6,0,0,0,0,1,0,0,1,1,2001,Non-drought,1,0,0,0,0,1,0,0,1,1
T01,7,0,0,0,0,0,0,1,1,1,2001,Non-drought,1,0,0,0,0,0,0,1,1,1
T01,8,0,0,0,17,1,0,1,19,1,2001,Non-drought,1,0,0,0,4,1,0,1,6,3
T01,9,0,0,0,0,0,0,0,0,1,2001,Non-drought,1,0,0,0,0,0,0,0,0,0
T01,10,0,5,0,0,0,0,0,5,1,2001,Non-drought,1,0,2,0,0,0,0,0,2,1
T01,11,0,0,1,0,0,0,3,4,1,2001,Non-drought,1,0,0,1,0,0,0,2,3,2
T01,12,0,0,0,0,0,0,0,0,1,2001,Non-drought,1,0,0,0,0,0,0,0,0,0
T01,13,0,0,0,0,0,0,0,0,1,2001,Non-drought,1,0,0,0,0,0,0,0,0,0
T01,14,0,0,0,0,0,0,0,0,1,2001,Non-drought,1,0,0,0,0,0,0,0,0,0
T01,15,0,0,0,0,0,0,0,0,1,2001,Non-drought,1,0,0,0,0,0,0,0,0,0
T01,16,0,0,0,8,0,0,0,8,1,2001,Non-drought,1,0,0,0,2,0,0,0,2,1
T01,17,0,0,0,0,0,0,0,0,1,2001,Non-drought,1,0,0,0,0,0,0,0,0,0
T01,18,0,0,0,1,0,0,0,1,1,2001,Non-drought,1,0,0,0,1,0,0,0,1,1
V01,1,0,0,0,21,0,0,0,21,1,2001,Non-drought,1,0,0,0,2,0,0,0,2,1
V01,2,0,0,32,57,0,1,0,90,1,2001,Non-drought,1,0,0,15,12,0,1,0,28,3
V01,3,0,0,1,0,0,0,0,1,1,2001,Non-drought,1,0,0,1,0,0,0,0,1,1
V01,4,0,0,13,0,2,1,0,16,1,2001,Non-drought,1,0,0,4,0,2,1,0,7,3
V01,5,0,0,1,0,1,0,0,2,1,2001,Non-drought,1,0,0,1,0,1,0,0,2,2
V01,6,0,0,0,0,2,0,0,2,1,2001,Non-drought,1,0,0,0,0,2,0,0,2,1
V01,7,0,0,5,0,5,0,0,10,1,2001,Non-drought,1,0,0,3,0,2,0,0,5,2
V01,8,0,0,6,0,1,0,3,10,1,2001,Non-drought,1,0,0,4,0,1,0,3,8,3
V01,9,0,0,6,0,0,0,0,6,1,2001,Non-drought,1,0,0,2,0,0,0,0,2,1
V01,10,0,0,0,0,0,0,0,0,1,2001,Non-drought,1,0,0,0,0,0,0,0,0,0
V01,11,0,0,1,0,0,0,0,1,1,2001,Non-drought,1,0,0,1,0,0,0,0,1,1
V01,12,0,0,0,0,0,0,0,0,1,2001,Non-drought,1,0,0,0,0,0,0,0,0,0
V01,13,0,0,19,0,0,0,0,19,1,2001,Non-drought,1,0,0,11,0,0,0,0,11,1
V01,14,0,0,4,0,0,0,0,4,1,2001,Non-drought,1,0,0,1,0,0,0,0,1,1
V01,15,0,0,3,0,0,0,0,3,1,2001,Non-drought,1,0,0,1,0,0,0,0,1,1
V01,16,0,0,2,0,0,0,0,2,1,2001,Non-drought,1,0,0,1,0,0,0,0,1,1
V01,17,0,2,0,1,0,0,0,3,1,2001,Non-drought,1,0,1,0,1,0,0,0,2,2
Avery Picnic Slope,1,0,0,1,0,0,0,0,1,3,2012,Drought,0.666666667,0,0,1,0,0,0,0,1,1
Avery Picnic Slope,2,0,0,3,0,1,0,1,5,1,2012,Drought,0.666666667,0,0,3,0,1,0,1,5,3
Avery Picnic Upper,1,0,0,11,0,5,0,0,16,3,2012,Drought,0.666666667,0,0,2,0,5,0,0,7,2
Avery Picnic Upper,2,0,0,8,40,4,2,1,55,3,2012,Drought,0.666666667,0,0,4,1,4,2,1,12,5
Back of Baldy Bend,1,0,0,0,0,0,1,1,2,3,2012,Drought,0.666666667,0,0,0,0,0,1,1,2,2
Back of Baldy Bend,2,0,0,10,0,1,0,0,11,3,2012,Drought,0.666666667,0,0,4,0,1,0,0,5,2
Baldy Lunch,1,0,0,0,2,19,0,1,22,3,2012,Drought,0.666666667,0,0,0,1,18,0,1,20,3
Baldy Lunch,2,1,0,0,16,0,0,0,17,3,2012,Drought,0.666666667,1,0,0,2,0,0,0,3,2
Bellview Bench,1,0,0,0,0,3,0,3,6,3,2012,Drought,0.666666667,0,0,0,0,3,0,3,6,2
Bellview Bench,2,0,0,1,0,2,7,1,11,3,2012,Drought,0.666666667,0,0,1,0,2,1,1,5,4
Bellview View,1,0,0,2,0,4,0,3,9,2,2012,Drought,0.666666667,0,0,1,0,4,0,3,8,3
Bellview View,2,0,0,0,196,0,0,2,198,3,2012,Drought,0.666666667,0,0,0,6,0,0,2,8,2
billy's Hilly Lower,1,1,0,0,0,0,0,0,1,2,2012,Drought,0.666666667,1,0,0,0,0,0,0,1,1
billy's Hilly Lower,2,0,0,0,0,0,2,0,2,2,2012,Drought,0.666666667,0,0,0,0,0,2,0,2,1
billy's Hilly Upper,1,0,0,0,0,0,0,3,3,2,2012,Drought,0.666666667,0,0,0,0,0,0,3,3,1
Emerald Lake Lower,1,0,0,1,0,1,0,1,3,2,2012,Drought,0.666666667,0,0,1,0,1,0,1,3,3
Emerald Lake Lower,2,0,0,1,0,2,0,0,3,2,2012,Drought,0.666666667,0,0,1,0,2,0,0,3,2
Emerald Lake Upper,1,0,1,3,0,0,0,0,4,2,2012,Drought,0.666666667,0,1,1,0,0,0,0,2,2
Emerald Lake Upper,2,1,0,1,0,0,0,8,10,2,2012,Drought,0.666666667,1,0,1,0,0,0,8,10,3
End of Gothic Hill,1,0,0,0,0,2,0,1,3,3,2012,Drought,0.666666667,0,0,0,0,2,0,1,3,2
End of Gothic Hill,2,0,0,0,9,3,0,0,12,1,2012,Drought,0.666666667,0,0,0,1,3,0,0,4,2
Kebler Pass,1,0,1,10,0,0,0,0,11,2,2012,Drought,0.666666667,0,1,9,0,0,0,0,10,2
Kebler Pass,2,1,0,15,0,0,0,0,16,2,2012,Drought,0.666666667,1,0,9,0,0,0,0,10,2
Long Lake Parking Lot 1,1,0,0,1,0,0,1,0,2,2,2012,Drought,0.666666667,0,0,1,0,0,1,0,2,2
Long Lake Parking Lot 2,1,1,0,0,1,1,4,0,7,2,2012,Drought,0.666666667,1,0,0,1,1,1,0,4,4
Long Lake Parking Lot 3,1,0,0,0,0,15,11,0,26,2,2012,Drought,0.666666667,0,0,0,0,5,10,0,15,2
Long Lake Parking Lot 4,1,0,0,0,0,1,0,0,1,2,2012,Drought,0.666666667,0,0,0,0,1,0,0,1,1
Max Field Meadow Lower,1,4,0,4,5,0,0,0,13,2,2012,Drought,0.666666667,4,1,1,1,0,0,0,7,4
Max Field Meadow Lower,2,0,17,0,0,0,0,3,20,2,2012,Drought,0.666666667,0,0,0,0,0,0,3,3,1
Max Field Meadow Upper,1,0,0,1,98,0,0,0,99,2,2012,Drought,0.666666667,0,0,1,2,0,0,0,3,2
Max Field Meadow Upper,2,1,0,0,19,1,0,1,22,2,2012,Drought,0.666666667,1,0,0,3,1,0,1,6,4
Ol' Dusty Road,1,0,0,1,0,0,0,2,3,3,2012,Drought,0.666666667,0,0,1,0,0,0,2,3,2
Ol' Dusty Road,2,0,0,2,0,4,0,3,9,2,2012,Drought,0.666666667,0,0,1,0,4,0,3,8,3
Rosy Point Lower,1,2,0,0,0,0,1,1,4,2,2012,Drought,0.666666667,2,0,0,0,0,1,1,4,3
Rosy Point Upper,1,1,1,0,0,0,0,5,7,2,2012,Drought,0.666666667,1,1,0,0,0,0,5,7,3
Schofield/Vera Falls,1,0,0,3,0,0,3,0,6,2,2012,Drought,0.666666667,0,0,2,0,0,1,0,3,2
Slate River 2,1,0,0,0,0,1,0,2,3,2,2012,Drought,0.666666667,0,0,0,0,1,0,2,3,2
Up on dat hill,1,0,0,0,0,3,0,2,5,3,2012,Drought,0.666666667,0,0,0,0,3,0,2,5,2
Up on dat hill,2,0,0,0,51,1,0,1,53,3,2012,Drought,0.666666667,0,0,0,2,1,0,1,4,3
Vera Falls 1,1,0,0,20,0,0,0,0,20,2,2012,Drought,0.666666667,0,0,14,0,0,0,0,14,1
Vera Falls 2,1,0,0,6,0,0,1,0,7,2,2012,Drought,0.666666667,0,0,2,0,0,1,0,3,2
Avery Slope,1,0,0,0,0,0,0,0,0,2,2018,Drought,0.333333333,0,0,0,0,0,0,0,0,0
Avery Slope,2,0,0,0,2,0,0,0,2,2,2018,Drought,0.333333333,0,0,0,2,0,0,0,2,1
Avery Slope,3,0,0,0,0,0,0,0,0,2,2018,Drought,0.333333333,0,0,0,0,0,0,0,0,0
Avery Slope,4,0,0,0,0,0,0,0,0,2,2018,Drought,0.333333333,0,0,0,0,0,0,0,0,0
Bellview Bench Park,1,1,0,1,0,1,0,0,3,2,2018,Drought,0.333333333,1,0,1,0,1,0,0,3,3
Bellview Bench Park,2,0,0,0,0,0,0,0,0,2,2018,Drought,0.333333333,0,0,0,0,0,0,0,0,0
Bellview Bench Park,3,0,0,10,0,0,0,1,11,2,2018,Drought,0.333333333,0,0,1,0,0,0,1,2,2
Bellview Bench Park,4,0,0,0,0,0,0,1,1,2,2018,Drought,0.333333333,0,0,0,0,0,0,1,1,1
Bellview View,1,0,0,0,0,0,0,0,0,2,2018,Drought,0.333333333,0,0,0,0,0,0,0,0,0
Bellview View,2,0,0,0,0,0,0,0,0,2,2018,Drought,0.333333333,0,0,0,0,0,0,0,0,0
Bellview View,3,0,0,0,0,0,0,0,0,2,2018,Drought,0.333333333,0,0,0,0,0,0,0,0,0
Bellview View,4,0,3,0,14,0,0,NA,17,2,2018,Drought,0.333333333,0,1,0,1,0,0,0,2,2
East River Overlook,1,0,0,0,0,0,0,0,0,2,2018,Drought,0.333333333,0,0,0,0,0,0,0,0,0
East River Overlook,2,0,0,0,0,0,0,1,1,2,2018,Drought,0.333333333,0,0,0,0,0,0,1,1,1
East River Overlook,3,0,0,0,0,0,0,0,0,2,2018,Drought,0.333333333,0,0,0,0,0,0,0,0,0
Rosy Point,1,0,0,0,0,0,0,0,0,2,2018,Drought,0.333333333,0,0,0,0,0,0,0,0,0
Rosy Point,2,0,0,0,0,2,0,5,7,2,2018,Drought,0.333333333,0,0,0,0,2,0,1,3,2
Rosy Point,3,0,0,1,0,1,0,2,4,2,2018,Drought,0.333333333,0,0,1,0,1,0,2,4,3
Rosy Point,4,0,0,0,0,0,0,0,0,2,2018,Drought,0.333333333,0,0,0,0,0,0,0,0,0
Vera Falls,1,0,0,0,1,0,0,0,1,2,2018,Drought,0.333333333,0,0,0,1,0,0,0,1,1
Vera Falls,2,0,0,0,0,0,0,0,0,2,2018,Drought,0.333333333,0,0,0,0,0,0,0,0,0
Vera Falls,3,0,0,0,2,0,0,0,2,2,2018,Drought,0.333333333,0,0,0,1,0,0,0,1,1
Vera Falls,4,0,0,0,0,0,0,0,0,2,2018,Drought,0.333333333,0,0,0,0,0,0,0,0,0
